UTC,PCTime,cruise_number,acoustic_observer,ac_effort,vis_effort,ot_effort
5/18/2013 21:59,5/18/2013 21:59,1303,JT,on,on,S
5/18/2013 23:08,5/18/2013 23:08,1303,JT,on,vch,S
5/18/2013 23:20,5/18/2013 23:20,1303,JT,on,off,S
5/18/2013 23:25,5/18/2013 23:25,1303,JT,on,on,S
5/19/2013 0:06,5/19/2013 0:06,1303,PR,on,on,S
5/19/2013 0:26,5/19/2013 0:26,1303,PR,on,ach,S
5/19/2013 1:09,5/19/2013 1:09,1303,PR,off,off,S
5/19/2013 1:12,5/19/2013 1:12,1303,SC,on,off,S
5/19/2013 1:13,5/19/2013 1:13,1303,SC,on,on,S
5/19/2013 2:02,5/19/2013 2:02,1303,YB,on,on,S
5/19/2013 3:01,5/19/2013 3:01,1303,YB,on,vch,S
5/19/2013 3:19,5/19/2013 3:19,1303,YB,on,off,S
5/19/2013 3:19,5/19/2013 3:19,1303,YB,on,on,S
5/19/2013 3:57,5/19/2013 3:57,1303,JT,on,on,S
5/19/2013 5:16,5/19/2013 5:16,1303,JT,on,vch,S
5/19/2013 5:32,5/19/2013 5:32,1303,JT,on,off,S
5/19/2013 5:36,5/19/2013 5:36,1303,JT,on,on,S
5/19/2013 5:51,5/19/2013 5:51,1303,JT,off,off,S
5/19/2013 17:01,5/19/2013 17:01,1303,PR,off,on,S
5/19/2013 17:07,5/19/2013 17:07,1303,PR,on,on,S
5/19/2013 18:05,5/19/2013 18:05,1303,YB,on,on,S
5/19/2013 20:02,5/19/2013 20:02,1303,JT,on,on,S
5/19/2013 22:29,5/19/2013 22:29,1303,YB,on,on,S
5/19/2013 23:01,5/19/2013 23:01,1303,YB,off,on,S
5/19/2013 23:04,5/19/2013 23:04,1303,YB,on,on,S
5/19/2013 23:49,5/19/2013 23:49,1303,YB,off,on,S
5/19/2013 23:49,5/19/2013 23:49,1303,YB,on,on,S
5/20/2013 0:34,5/20/2013 0:34,1303,YB,off,on,S
5/20/2013 0:37,5/20/2013 0:37,1303,YB,on,on,S
5/20/2013 0:49,5/20/2013 0:49,1303,YB,off,on,S
5/20/2013 0:54,5/20/2013 0:54,1303,YB,on,on,S
5/20/2013 2:05,5/20/2013 2:05,1303,JT,on,on,S
5/20/2013 3:58,5/20/2013 3:58,1303,JT,off,off,S
5/20/2013 21:11,5/20/2013 21:11,1303,SC,off,on,NS
5/20/2013 21:15,5/20/2013 21:15,1303,SC,off,on,NS
5/20/2013 21:18,5/20/2013 21:18,1303,SC,on,on,NS
5/20/2013 23:23,5/20/2013 23:23,1303,SC,on,vch,NS
5/20/2013 23:57,5/20/2013 23:57,1303,SC,on,off,NS
5/21/2013 0:06,5/21/2013 0:06,1303,SC,on,ach,NS
5/21/2013 0:23,5/21/2013 0:23,1303,SC,on,off,NS
5/21/2013 0:35,5/21/2013 0:35,1303,SC,on,vch,NS
5/21/2013 1:04,5/21/2013 1:04,1303,PR,on,vch,NS
5/21/2013 1:24,5/21/2013 1:24,1303,PR,on,off,NS
5/21/2013 1:32,5/21/2013 1:32,1303,PR,on,on,NS
5/21/2013 1:59,5/21/2013 1:59,1303,JT,on,on,NS
5/21/2013 3:06,5/21/2013 3:06,1303,SC,on,on,NS
5/21/2013 3:25,5/21/2013 3:25,1303,SC,on,off,NS
5/21/2013 3:30,5/21/2013 3:30,1303,SC,on,off,NS
5/21/2013 3:33,5/21/2013 3:33,1303,SC,off,off,NS
5/21/2013 16:50,5/21/2013 16:50,1303,JT,off,on,S
5/21/2013 16:52,5/21/2013 16:52,1303,JT,on,on,S
5/21/2013 16:53,5/21/2013 16:53,1303,JT,on,on,S
5/21/2013 18:42,5/21/2013 18:42,1303,SC,on,vch,S
5/21/2013 19:28,5/21/2013 19:28,1303,SC,off,off,S
5/21/2013 19:33,5/21/2013 19:33,1303,SC,on,on,S
5/21/2013 19:59,5/21/2013 19:59,1303,YB,on,on,S
5/21/2013 20:33,5/21/2013 20:33,1303,YB,on,vch,S
5/21/2013 21:42,5/21/2013 21:42,1303,YB,off,off,S
5/21/2013 21:46,5/21/2013 21:46,1303,YB,on,on,S
5/21/2013 21:58,5/21/2013 21:58,1303,JT,on,on,S
5/21/2013 22:30,5/21/2013 22:30,1303,JT,on,ach,S
5/21/2013 23:46,5/21/2013 23:46,1303,JT,off,off,S
5/21/2013 23:50,5/21/2013 23:50,1303,JT,on,off,S
5/22/2013 0:12,5/22/2013 0:12,1303,SC,on,off,S
5/22/2013 0:15,5/22/2013 0:15,1303,SC,on,on,S
5/22/2013 1:23,5/22/2013 1:23,1303,SC,on,vch,S
5/22/2013 1:23,5/22/2013 1:23,1303,SC,on,off,S
5/22/2013 1:27,5/22/2013 1:27,1303,SC,on,on,S
5/22/2013 1:59,5/22/2013 1:59,1303,YB,on,on,S
5/22/2013 2:44,5/22/2013 2:44,1303,YB,on,vch,S
5/22/2013 3:17,5/22/2013 3:17,1303,YB,off,vch,S
5/22/2013 3:43,5/22/2013 3:43,1303,SC,on,vch,S
5/22/2013 5:06,5/22/2013 5:06,1303,SC,on,off,S
5/22/2013 5:35,5/22/2013 5:35,1303,SC,off,off,S
5/22/2013 16:51,5/22/2013 16:51,1303,SC,on,off,S
5/22/2013 16:55,5/22/2013 16:55,1303,SC,on,off,S
5/22/2013 17:01,5/22/2013 17:01,1303,SC,on,on,S
5/22/2013 17:40,5/22/2013 17:40,1303,YB,on,on,S
5/22/2013 18:36,5/22/2013 18:36,1303,YB,on,vch,S
5/22/2013 18:37,5/22/2013 18:37,1303,YB,on,vch,S
5/22/2013 19:33,5/22/2013 19:33,1303,YB,on,vch,S
5/22/2013 20:00,5/22/2013 20:00,1303,JT,on,vch,S
5/22/2013 20:54,5/22/2013 20:54,1303,JT,off,vch,S
5/22/2013 21:00,5/22/2013 21:00,1303,JT,on,vch,S
5/22/2013 21:04,5/22/2013 21:04,1303,JT,on,off,S
5/22/2013 21:23,5/22/2013 21:23,1303,JT,off,off,S
5/22/2013 21:31,5/22/2013 21:31,1303,SC,on,off,S
5/22/2013 21:55,5/22/2013 21:55,1303,SC,on,on,S
5/23/2013 0:07,5/23/2013 0:07,1303,JT,on,on,S
5/23/2013 2:44,5/23/2013 2:44,1303,JT,on,off,S
5/23/2013 2:59,5/23/2013 2:59,1303,JT,on,on,S
5/23/2013 3:04,5/23/2013 3:04,1303,SC,on,on,S
5/23/2013 3:44,5/23/2013 3:44,1303,JT,on,vch,S
5/23/2013 3:59,5/23/2013 3:59,1303,JT,off,off,S
5/23/2013 4:05,5/23/2013 4:05,1303,SC,on,on,S
5/23/2013 4:07,5/23/2013 4:07,1303,SC,on,on,S
5/23/2013 4:10,5/23/2013 4:10,1303,SC,off,on,S
5/23/2013 4:13,5/23/2013 4:13,1303,SC,on,on,S
5/23/2013 6:00,5/23/2013 6:00,1303,SC,off,off,S
5/23/2013 18:44,5/23/2013 18:44,1303,PR,off,on,S
5/23/2013 18:48,5/23/2013 18:48,1303,PR,off,on,S
5/23/2013 18:53,5/23/2013 18:53,1303,PR,off,on,S
5/23/2013 19:15,5/23/2013 19:15,1303,PR,off,on,S
5/23/2013 20:32,5/23/2013 20:32,1303,JT,on,on,S
5/23/2013 22:07,5/23/2013 22:07,1303,SC,on,on,S
5/23/2013 22:52,5/23/2013 22:52,1303,SC,on,ach,S
5/23/2013 23:32,5/23/2013 23:31,1303,SC,on,off,S
5/23/2013 23:32,5/23/2013 23:32,1303,SC,on,on,S
5/24/2013 0:03,5/24/2013 0:03,1303,SC,on,ach,S
5/24/2013 0:18,5/24/2013 0:18,1303,SC,on,off,S
5/24/2013 0:22,5/24/2013 0:22,1303,YB,on,on,S
5/24/2013 2:00,5/24/2013 2:00,1303,JT,on,on,S
5/24/2013 4:46,5/24/2013 4:46,1303,SC,on,vch,S
5/24/2013 4:57,5/24/2013 4:57,1303,SC,on,on,S
5/24/2013 5:15,5/24/2013 5:15,1303,SC,on,vch,S
5/24/2013 5:15,5/24/2013 5:15,1303,SC,on,vch,S
5/24/2013 5:32,5/24/2013 5:32,1303,SC,on,off,S
5/24/2013 5:38,5/24/2013 5:38,1303,SC,on,on,S
5/24/2013 5:45,5/24/2013 5:45,1303,SC,on,on,S
5/24/2013 6:00,5/24/2013 6:00,1303,SC,off,off,S
5/24/2013 16:49,5/24/2013 16:49,1303,YB,off,on,S
5/24/2013 17:01,5/24/2013 17:01,,YB,on,on,S
5/24/2013 17:04,5/24/2013 17:04,,YB,on,vch,S
5/24/2013 17:24,5/24/2013 17:24,,YB,on,off,S
5/24/2013 17:25,5/24/2013 17:25,,YB,off,off,S
5/24/2013 17:29,5/24/2013 17:29,,YB,on,off,S
5/24/2013 17:37,5/24/2013 17:37,1303,YB,on,on,S
5/24/2013 17:38,5/24/2013 17:38,1303,YB,on,on,S
