survey,acid,ID,UTC,peak,itrk,type,lat,lon,pdist
1706,188,1706_188,8/23/2017 21:58,A,1,best,28.4941168,-173.9373734,-14000
1706,195,1706_195,8/24/2017 17:07,A,1,best,27.94544556,-171.5635638,-12500
1706,199,1706_199,8/25/2017 2:17,A,1,best,27.68048856,-170.2731434,-8000
1706,2,1706_2,7/8/2017 1:47,A,1,best,21.32958403,-160.8872382,-15500
1706,204,1706_204,8/25/2017 17:53,A,1,best,27.36952583,-168.2418268,10750
1706,228,1706_228,8/30/2017 23:11,A,1,best,24.7852437,-156.9287171,-2500
1706,236,1706_236,9/1/2017 18:56,A,1,best,22.56651742,-156.140924,-9250
1706,299,1706_299,9/22/2017 0:58,A,1,best,26.21692946,179.0033688,-15250
1706,325,1706_325,9/30/2017 22:58,A,1,best,26.59172732,-172.2737677,-3250
1706,327,1706_327,10/1/2017 0:46,A,1,best,26.40328445,-171.9523367,3500
1706,41,1706_41,7/15/2017 15:38,A,1,best,20.72389012,-155.414951,6000
1706,49,1706_49,7/16/2017 1:50,A,1,best,21.43311362,-156.4869277,0
1706,54,1706_54,7/17/2017 3:39,A,1,best,22.11072601,-157.9969286,-13750
1706,62,1706_62,7/19/2017 1:24,A,1,best,23.53455436,-163.4518942,-13250
1706,85,1706_85,7/24/2017 0:53,A,1,best,25.29832755,-173.5353847,-5250
1706,94,1706_94,7/25/2017 1:51,A,1,best,24.39178055,-172.3042533,15000
1604,30,1604_30,7/8/2016 22:18,A,1,min,22.18149991,-158.4140229,10829
1705,226,1705_226,10/20/2017 23:27,A,1,max,25.20387782,-166.6321999,2651
1706,179,1706_179,8/21/2017 23:54,A,1,min,30.17525978,-179.7942245,-14156
1706,79,1706_79,7/23/2017 4:21,A,1,min,24.94497332,-171.753977,-3348
1706,98,1706_98,7/26/2017 4:32,A,1,min,23.43381456,-168.6937905,-8764
1303,20,1303_20,5/13/2013 18:42,A,1,min,24.53805308,-168.5460499,-15313
1303,54,1303_54,5/18/2013 18:38,A,1,min,25.60734296,-174.2057022,5123
1303,71,1303_71,5/22/2013 16:53,A,1,min,26.06885822,-175.2739051,-15547
1303,72,1303_72,5/22/2013 18:03,A,1,min,26.34138826,-175.0628108,5988
1303,74,1303_74,5/23/2013 4:31,A,1,min,26.6248732,-173.7471919,-7508
1604,48,1604_48,7/11/2016 4:13,A,1,min,20.8324899,-155.1744936,3637
1604,57,1604_57,7/11/2016 22:33,A,1,min,19.51203302,-154.5022036,-13664
1604,57,1604_57,7/11/2016 22:33,A,2,min,19.56045549,-154.4381994,-6694
1604,67,1604_67,7/12/2016 18:58,A,1,min,20.37673009,-154.7672516,13563
1641,164,1641_164,9/19/2010 20:36,A,1,min,20.91851439,-154.7651129,-20038
1641,171,1641_171,9/20/2010 21:46,A,1,min,21.5610861,-156.9193921,-20050
1641,339,1641_339,11/16/2010 0:17,A,1,min,24.63490719,179.6917575,-19297
1641,36,1641_36,8/18/2010 20:20,A,1,min,18.92219592,-152.3055321,4809
1641,368,1641_368,11/26/2010 2:02,A,1,min,22.62796174,-161.8207623,-19509
1641,37,1641_37,8/18/2010 20:30,A,1,min,18.79936708,-152.4511506,-12256
1641,60,1641_60,8/26/2010 22:15,A,1,min,23.74681534,-159.7010242,-18853
1641,69,1641_69,9/1/2010 22:43,A,1,min,28.65334875,-176.4695731,-16270
1641,76,1641_76,9/3/2010 21:59,A,1,min,30.42606441,179.1813474,-16251
1641,80,1641_80,9/4/2010 19:55,A,1,min,29.79078577,-177.8763634,-16027
1705,163,1705_163,9/24/2017 23:21,A,1,min,20.9552942,-165.4913514,-30048
1705,181,1705_181,9/28/2017 4:13,A,1,min,22.36359103,-171.2472686,-4016
1705,196,1705_196,10/2/2017 3:12,A,1,min,25.32502458,-176.8025065,-2435
1705,221,1705_221,10/18/2017 17:51,A,1,min,23.81242194,-160.9385256,-2846
1705,223,1705_223,10/20/2017 2:46,A,1,min,24.85855859,-165.443004,-8458
1705,235,1705_235,10/22/2017 17:18,A,1,min,24.81998726,-168.8979399,-18623
1705,246,1705_246,10/25/2017 20:35,A,1,min,25.91083315,-169.8419589,-9927
1705,249,1705_249,10/27/2017 1:50,A,1,min,27.4834172,-172.4050692,4964
1705,251,1705_251,10/27/2017 2:31,A,1,min,27.56215393,-172.5743918,9034
1705,261,1705_261,10/28/2017 0:06,A,1,min,26.80336644,-172.6382743,11000
1705,352,1705_352,11/21/2017 2:00,A,1,min,23.75292078,-160.4305183,5048
1705,367,1705_367,11/22/2017 22:12,A,1,min,21.67202995,-155.0498114,3517
1705,382,1705_382,11/25/2017 0:00,A,1,min,22.03354065,-153.5726113,2049
1706,11,1706_11,7/9/2017 21:44,A,1,best,20.41067682,-156.8984537,500
1706,112,1706_112,7/31/2017 1:40,A,1,min,19.29430403,-159.101058,2315
1706,135,1706_135,8/10/2017 15:43,A,1,min,21.39614658,-156.6034699,6301
1706,154,1706_154,8/14/2017 18:24,A,1,min,27.45389605,-166.2817394,-3226
1706,156,1706_156,8/14/2017 23:07,A,1,min,27.59380327,-167.0097967,-7377
1706,188,1706_188,8/23/2017 21:58,A,1,min,28.49285157,-173.9454021,-14328
1706,195,1706_195,8/24/2017 17:07,A,1,min,27.92431346,-171.5731207,-15002
1706,199,1706_199,8/25/2017 2:17,A,1,min,27.65317362,-170.2894432,-11342
1706,2,1706_2,7/8/2017 1:47,A,1,min,21.33273401,-160.8997521,-15775
1706,204,1706_204,8/25/2017 17:53,A,1,min,27.35620128,-168.2553738,8962
1706,228,1706_228,8/30/2017 23:11,A,1,min,24.69000358,-156.811573,-15543
1706,236,1706_236,9/1/2017 18:56,A,1,min,22.53334659,-156.2350177,-15286
1706,299,1706_299,9/22/2017 0:58,A,1,min,26.21881246,178.993521,-15300
1706,325,1706_325,9/30/2017 22:58,A,1,min,26.57455704,-172.2923092,-5895
1706,327,1706_327,10/1/2017 0:46,A,1,min,26.40036479,-171.9599399,2734
1706,41,1706_41,7/15/2017 15:38,A,1,min,20.71968336,-155.4225316,5142
1706,49,1706_49,7/16/2017 1:50,A,1,min,21.43314309,-156.4915976,-326
1706,54,1706_54,7/17/2017 3:39,A,1,min,22.10717739,-157.9999509,-14051
1706,62,1706_62,7/19/2017 1:24,A,1,min,23.52933625,-163.4599737,-14024
1706,85,1706_85,7/24/2017 0:53,A,1,min,25.29004151,-173.5408416,-6280
1706,94,1706_94,7/25/2017 1:51,A,1,min,24.37683303,-172.3144173,13134
1604,30,1604_30,7/8/2016 22:18,A,1,max,22.32761504,-158.5806284,13034
1706,11,1706_11,7/9/2017 21:44,A,1,min,20.40274196,-156.9007825,-410
1706,179,1706_179,8/21/2017 23:54,A,1,max,29.9628942,-179.9242255,-10917
1706,79,1706_79,7/23/2017 4:21,A,1,max,24.89047981,-171.7737984,-2043
1706,98,1706_98,7/26/2017 4:32,A,1,max,23.29276556,-168.7383339,-6231
1303,20,1303_20,5/13/2013 18:42,A,1,max,24.53922728,-168.4685691,-7717
1303,54,1303_54,5/18/2013 18:38,A,1,max,25.60111098,-174.179147,7741
1303,71,1303_71,5/22/2013 16:53,A,1,max,26.16900896,-175.2993658,-4248
1303,72,1303_72,5/22/2013 18:03,A,1,max,26.37617023,-175.0683588,9812
1303,74,1303_74,5/23/2013 4:31,A,1,max,26.65829387,-173.7536341,-3797
1604,48,1604_48,7/11/2016 4:13,A,1,max,20.86171052,-155.160636,6962
1604,57,1604_57,7/11/2016 22:33,A,1,max,19.5449131,-154.4847559,-9666
1604,57,1604_57,7/11/2016 22:33,A,2,max,19.5761207,-154.427932,-4734
1604,67,1604_67,7/12/2016 18:58,A,1,max,20.39049655,-154.7599439,15049
1641,164,1641_164,9/19/2010 20:36,A,1,max,21.24604266,-154.581032,20037
1641,171,1641_171,9/20/2010 21:46,A,1,max,21.64272816,-156.526744,20049
1641,339,1641_339,11/16/2010 0:17,A,1,max,24.58039508,179.979,19295
1641,36,1641_36,8/18/2010 20:20,A,1,max,18.99853276,-152.2200424,15285
1641,368,1641_368,11/26/2010 2:02,A,1,max,22.95510362,-161.6178161,19753
1641,37,1641_37,8/18/2010 20:30,A,1,max,18.88321744,-152.3984036,-1863
1641,60,1641_60,8/26/2010 22:15,A,1,max,24.09907417,-159.5529016,22752
1641,69,1641_69,9/1/2010 22:43,A,1,max,28.91679575,-176.2980889,16282
1641,76,1641_76,9/3/2010 21:59,A,1,max,30.72379188,179.1712168,16259
1641,80,1641_80,9/4/2010 19:55,A,1,max,30.052637,-177.708527,16023
1705,163,1705_163,9/24/2017 23:21,A,1,max,21.46451955,-165.6973308,29639
1705,181,1705_181,9/28/2017 4:13,A,1,max,22.38244389,-171.2355114,-1691
1705,196,1705_196,10/2/2017 3:12,A,1,max,25.36749754,-176.7876634,2495
1705,221,1705_221,10/18/2017 17:51,A,1,max,23.86378892,-160.9221138,3080
1705,223,1705_223,10/20/2017 2:46,A,1,max,24.89924117,-165.4174842,-3406
1705,235,1705_235,10/22/2017 17:18,A,1,max,24.8257751,-168.8791848,-17522
1705,246,1705_246,10/25/2017 20:35,A,1,max,25.93392311,-169.8272929,-7087
1705,249,1705_249,10/27/2017 1:50,A,1,max,27.50145034,-172.3911481,7261
1705,251,1705_251,10/27/2017 2:31,A,1,max,27.57840702,-172.5612344,11103
1705,261,1705_261,10/28/2017 0:06,A,1,max,26.82595187,-172.631267,13443
1705,352,1705_352,11/21/2017 2:00,A,1,max,23.78256016,-160.4039216,8937
1705,367,1705_367,11/22/2017 22:12,A,1,max,21.6963931,-155.0378232,6416
1705,382,1705_382,11/25/2017 0:00,A,1,max,22.05452467,-153.5621955,4575
1706,11,1706_11,7/9/2017 21:44,A,1,max,20.41380089,-156.8972337,865
1706,112,1706_112,7/31/2017 1:40,A,1,max,19.31886239,-159.0855641,5462
1706,135,1706_135,8/10/2017 15:43,A,1,max,21.40774657,-156.5909804,8062
1706,154,1706_154,8/14/2017 18:24,A,1,max,27.51251719,-166.2582078,3655
1706,156,1706_156,8/14/2017 23:07,A,1,max,27.61713691,-166.9976731,-4566
1706,188,1706_188,8/23/2017 21:58,A,1,max,28.51700838,-173.9223606,-11181
1706,195,1706_195,8/24/2017 17:07,A,1,max,27.96016029,-171.5554068,-10721
1706,199,1706_199,8/25/2017 2:17,A,1,max,27.69592389,-170.2603131,-6018
1706,2,1706_2,7/8/2017 1:47,A,1,max,21.36376508,-160.8578222,-10746
1706,204,1706_204,8/25/2017 17:53,A,1,max,27.38620412,-168.2176266,13185
1706,228,1706_228,8/30/2017 23:11,A,1,max,24.84451594,-157.1031068,15793
1706,236,1706_236,9/1/2017 18:56,A,1,max,22.76414015,-155.9935083,15793
1706,299,1706_299,9/22/2017 0:58,A,1,max,26.22205603,179.0134625,-14443
1706,325,1706_325,9/30/2017 22:58,A,1,max,26.59579929,-172.2639125,-2271
1706,327,1706_327,10/1/2017 0:46,A,1,max,26.41460521,-171.9346289,5637
1706,41,1706_41,7/15/2017 15:38,A,1,max,20.73406439,-155.4036782,7614
1706,49,1706_49,7/16/2017 1:50,A,1,max,21.43402857,-156.4833219,328
1706,54,1706_54,7/17/2017 3:39,A,1,max,22.11673918,-157.9950929,-13154
1706,62,1706_62,7/19/2017 1:24,A,1,max,23.56297872,-163.4277563,-9566
1706,85,1706_85,7/24/2017 0:53,A,1,max,25.30432536,-173.5300575,-4468
1706,94,1706_94,7/25/2017 1:51,A,1,max,24.39087577,-172.2966768,15102
1303,20,1303_20,5/13/2013 18:42,B,1,best,24.60730299,-168.2568803,15000
1303,54,1303_54,5/18/2013 18:38,B,1,best,25.59654701,-174.3131986,-5750
1303,71,1303_71,5/22/2013 16:53,B,1,best,26.25573677,-175.3423805,6250
1303,72,1303_72,5/22/2013 18:03,B,1,best,26.233763,-175.0177918,-6750
1303,74,1303_74,5/23/2013 4:31,B,1,best,26.72601947,-173.7830373,4250
1604,48,1604_48,7/11/2016 4:13,B,1,best,20.74544714,-155.1777048,-6000
1604,57,1604_57,7/11/2016 22:33,B,1,best,19.72779344,-154.4344767,11250
1604,57,1604_57,7/11/2016 22:33,B,2,best,19.67017863,-154.4029009,6000
1604,67,1604_67,7/12/2016 18:58,B,1,best,20.11918329,-154.7502735,-15000
1641,164,1641_164,9/19/2010 20:36,B,1,best,21.12314419,-154.6500923,5000
1641,171,1641_171,9/20/2010 21:46,B,1,best,21.56564152,-156.7460488,-4000
1641,339,1641_339,11/16/2010 0:17,B,1,best,24.63922147,179.9660402,6000
1641,36,1641_36,8/18/2010 20:20,B,1,best,18.76343066,-152.3174888,-12500
1641,368,1641_368,11/26/2010 2:02,B,1,best,22.77820435,-161.6578048,-250
1641,37,1641_37,8/18/2010 20:30,B,1,best,18.95038091,-152.3918787,5500
1641,60,1641_60,8/26/2010 22:15,B,1,best,23.86378775,-159.6410863,-4750
1641,69,1641_69,9/1/2010 22:43,B,1,best,28.76220765,-176.3566853,-1750
1641,76,1641_76,9/3/2010 21:59,B,1,best,30.5529094,179.1565723,-2000
1641,80,1641_80,9/4/2010 19:55,B,1,best,29.96101533,-177.7698061,4750
1705,112,1705_112,9/12/2017 23:05,B,1,best,20.32482324,-156.0841566,-9750
1705,163,1705_163,9/24/2017 23:21,B,1,best,21.25752301,-165.6409536,6750
1705,181,1705_181,9/28/2017 4:13,B,1,best,22.4197327,-171.2279941,2500
1705,196,1705_196,10/2/2017 3:12,B,1,best,25.32855487,-176.8002853,-2000
1705,221,1705_221,10/18/2017 17:51,B,1,best,23.82612555,-160.9335518,-1250
1705,223,1705_223,10/20/2017 2:46,B,1,best,24.96909173,-165.4005085,4500
1705,235,1705_235,10/22/2017 17:18,B,1,best,25.13946605,-168.7947852,18250
1705,246,1705_246,10/25/2017 20:35,B,1,best,26.07806075,-169.7924173,9250
1705,249,1705_249,10/27/2017 1:50,B,1,best,27.38933696,-172.430435,-5750
1705,251,1705_251,10/27/2017 2:31,B,1,best,27.39270911,-172.6190903,-10250
1705,261,1705_261,10/28/2017 0:06,B,1,best,26.59666855,-172.616362,-12000
1705,352,1705_352,11/21/2017 2:00,B,1,best,23.64089054,-160.4522679,-7500
1705,367,1705_367,11/22/2017 22:12,B,1,best,21.60715424,-155.0610699,-3750
1705,382,1705_382,11/25/2017 0:00,B,1,best,21.98483609,-153.5853722,-3500
1706,11,1706_11,7/9/2017 21:44,B,1,best,20.4018497,-156.9004881,-500
1706,112,1706_112,7/31/2017 1:40,B,1,best,19.24174053,-159.1244558,-4000
1706,135,1706_135,8/10/2017 15:43,B,1,best,21.29108734,-156.6656945,-7000
1706,154,1706_154,8/14/2017 18:24,B,1,best,27.45530684,-166.2788865,-3000
1706,156,1706_156,8/14/2017 23:07,B,1,best,27.696618,-166.9757247,4500
1706,188,1706_188,8/23/2017 21:58,B,1,best,28.73690529,-173.8679659,13750
1706,195,1706_195,8/24/2017 17:07,B,1,best,28.16392398,-171.5001666,12500
1706,199,1706_199,8/25/2017 2:17,B,1,best,27.8089451,-170.2339205,6750
1706,2,1706_2,7/8/2017 1:47,B,1,best,21.57937355,-160.7521508,15500
1706,204,1706_204,8/25/2017 17:53,B,1,best,27.17644407,-168.3035618,-11500
1706,228,1706_228,8/30/2017 23:11,B,1,best,24.7907943,-156.9778295,2500
1706,236,1706_236,9/1/2017 18:56,B,1,best,22.72796387,-156.0946176,9250
1706,299,1706_299,9/22/2017 0:58,B,1,best,26.48306138,179.0815381,15250
1706,325,1706_325,9/30/2017 22:58,B,1,best,26.6347293,-172.2331392,3000
1706,327,1706_327,10/1/2017 0:46,B,1,best,26.36034598,-172.0003463,-3250
1706,41,1706_41,7/15/2017 15:38,B,1,best,20.63764863,-155.488591,-6250
1706,49,1706_49,7/16/2017 1:50,B,1,best,21.43311362,-156.4869277,0
1706,54,1706_54,7/17/2017 3:39,B,1,best,22.34876106,-158.0640551,13500
1706,62,1706_62,7/19/2017 1:24,B,1,best,23.74584795,-163.3895422,11000
1706,85,1706_85,7/24/2017 0:53,B,1,best,25.38978538,-173.5079854,5250
1706,94,1706_94,7/25/2017 1:51,B,1,best,24.13230109,-172.3799836,-14750
1303,20,1303_20,5/13/2013 18:42,B,1,min,24.59928097,-168.3107566,9500
1303,54,1303_54,5/18/2013 18:38,B,1,min,25.59991011,-174.3240543,-6814
1303,71,1303_71,5/22/2013 16:53,B,1,min,26.22942982,-175.3383362,3372
1303,72,1303_72,5/22/2013 18:03,B,1,min,26.21933868,-175.0162243,-8312
1303,74,1303_74,5/23/2013 4:31,B,1,min,26.71905768,-173.7830616,3521
1604,48,1604_48,7/11/2016 4:13,B,1,min,20.73200516,-155.1817239,-7513
1604,57,1604_57,7/11/2016 22:33,B,1,min,19.71500528,-154.4422909,13664
1604,57,1604_57,7/11/2016 22:33,B,2,min,19.65987971,-154.4088516,6694
1604,67,1604_67,7/12/2016 18:58,B,1,min,20.11885962,-154.7542625,-15016
1641,164,1641_164,9/19/2010 20:36,B,1,min,20.91852309,-154.7651103,20038
1641,171,1641_171,9/20/2010 21:46,B,1,min,21.56109039,-156.9193836,20050
1641,339,1641_339,11/16/2010 0:17,B,1,min,24.63491494,179.6917754,19297
1641,36,1641_36,8/18/2010 20:20,B,1,min,18.74882785,-152.3538003,-15043
1641,368,1641_368,11/26/2010 2:02,B,1,min,22.6257909,-161.8211695,19509
1641,37,1641_37,8/18/2010 20:30,B,1,min,18.92330787,-152.4167615,1933
1641,60,1641_60,8/26/2010 22:15,B,1,min,23.7128457,-159.7110774,18853
1641,69,1641_69,9/1/2010 22:43,B,1,min,28.65324421,-176.4696051,16270
1641,76,1641_76,9/3/2010 21:59,B,1,min,30.42599377,179.1813644,16251
1641,80,1641_80,9/4/2010 19:55,B,1,min,29.79082082,-177.8763536,16027
1705,112,1705_112,9/12/2017 23:05,B,1,min,20.16625711,-156.1119034,-27451
1705,163,1705_163,9/24/2017 23:21,B,1,min,20.95852749,-165.4932572,30048
1705,181,1705_181,9/28/2017 4:13,B,1,min,22.41316855,-171.2334192,1656
1705,196,1705_196,10/2/2017 3:12,B,1,min,25.32450067,-176.8026578,2435
1705,221,1705_221,10/18/2017 17:51,B,1,min,23.81037528,-160.9390959,2846
1705,223,1705_223,10/20/2017 2:46,B,1,min,24.95856939,-165.4106148,3093
1705,235,1705_235,10/22/2017 17:18,B,1,min,25.13560563,-168.8070468,18623
1705,246,1705_246,10/25/2017 20:35,B,1,min,26.06517906,-169.7987905,7710
1705,249,1705_249,10/27/2017 1:50,B,1,min,27.38276205,-172.4369069,-6625
1705,251,1705_251,10/27/2017 2:31,B,1,min,27.38469378,-172.6257674,-11275
1705,261,1705_261,10/28/2017 0:06,B,1,min,26.5839658,-172.6199038,-13377
1705,352,1705_352,11/21/2017 2:00,B,1,min,23.61936499,-160.4708375,-10304
1705,367,1705_367,11/22/2017 22:12,B,1,min,21.59608922,-155.0673985,-5086
1705,382,1705_382,11/25/2017 0:00,B,1,min,21.97260407,-153.5906636,-4951
1706,11,1706_11,7/9/2017 21:44,B,1,min,20.39872563,-156.9017081,410
1706,112,1706_112,7/31/2017 1:40,B,1,min,19.227063,-159.1328841,-5845
1706,135,1706_135,8/10/2017 15:43,B,1,min,21.28391211,-156.6728957,-6301
1706,154,1706_154,8/14/2017 18:24,B,1,min,27.45016521,-166.282899,3226
1706,156,1706_156,8/14/2017 23:07,B,1,min,27.69286419,-166.9790349,4012
1706,188,1706_188,8/23/2017 21:58,B,1,min,28.73218416,-173.8769827,13027
1706,195,1706_195,8/24/2017 17:07,B,1,min,28.14911029,-171.5078901,15002
1706,199,1706_199,8/25/2017 2:17,B,1,min,27.8012949,-170.2442159,5666
1706,2,1706_2,7/8/2017 1:47,B,1,min,21.54645715,-160.7841696,10749
1706,204,1706_204,8/25/2017 17:53,B,1,min,27.15661982,-168.319187,-14037
1706,228,1706_228,8/30/2017 23:11,B,1,min,24.68972605,-156.8091174,15543
1706,236,1706_236,9/1/2017 18:56,B,1,min,22.52892209,-156.2362868,15286
1706,299,1706_299,9/22/2017 0:58,B,1,min,26.47833906,179.0697502,15300
1706,325,1706_325,9/30/2017 22:58,B,1,min,26.63070042,-172.2392646,2265
1706,327,1706_327,10/1/2017 0:46,B,1,min,26.35330423,-172.0125585,-4664
1706,41,1706_41,7/15/2017 15:38,B,1,min,20.62886579,-155.5000791,-7758
1706,49,1706_49,7/16/2017 1:50,B,1,min,21.43312982,-156.4916107,326
1706,54,1706_54,7/17/2017 3:39,B,1,min,22.34545702,-158.0671464,13227
1706,62,1706_62,7/19/2017 1:24,B,1,min,23.73425182,-163.3995038,9494
1706,85,1706_85,7/24/2017 0:53,B,1,min,25.38365949,-173.5127951,6280
1706,94,1706_94,7/25/2017 1:51,B,1,min,24.13089883,-172.3861943,-15063
1303,20,1303_20,5/13/2013 18:42,B,1,max,24.59652679,-168.2483722,15504
1303,54,1303_54,5/18/2013 18:38,B,1,max,25.59311462,-174.3064719,-5101
1303,71,1303_71,5/22/2013 16:53,B,1,max,26.33141382,-175.3645326,14887
1303,72,1303_72,5/22/2013 18:03,B,1,max,26.24417745,-175.0179769,-5653
1303,74,1303_74,5/23/2013 4:31,B,1,max,26.74512566,-173.7867036,6371
1604,48,1604_48,7/11/2016 4:13,B,1,max,20.75078979,-155.1686172,-5346
1604,57,1604_57,7/11/2016 22:33,B,1,max,19.74788537,-154.4248432,9666
1604,57,1604_57,7/11/2016 22:33,B,2,max,19.67554492,-154.3985843,4734
1604,67,1604_67,7/12/2016 18:58,B,1,max,20.12213224,-154.7464262,-14693
1641,164,1641_164,9/19/2010 20:36,B,1,max,21.24605136,-154.5810294,-20037
1641,171,1641_171,9/20/2010 21:46,B,1,max,21.64273244,-156.5267355,-20049
1641,339,1641_339,11/16/2010 0:17,B,1,max,24.58040283,179.979,-19295
1641,36,1641_36,8/18/2010 20:20,B,1,max,18.82394206,-152.2686509,-4707
1641,368,1641_368,11/26/2010 2:02,B,1,max,22.95293278,-161.6182234,-19753
1641,37,1641_37,8/18/2010 20:30,B,1,max,19.00977872,-152.3632874,12626
1641,60,1641_60,8/26/2010 22:15,B,1,max,24.06510453,-159.5629547,-22752
1641,69,1641_69,9/1/2010 22:43,B,1,max,28.91669121,-176.2981209,-16282
1641,76,1641_76,9/3/2010 21:59,B,1,max,30.72372124,179.1712338,-16259
1641,80,1641_80,9/4/2010 19:55,B,1,max,30.05267205,-177.7085172,-16023
1705,112,1705_112,9/12/2017 23:05,B,1,max,20.35804675,-156.0714388,-5996
1705,163,1705_163,9/24/2017 23:21,B,1,max,21.46775283,-165.6992366,-29639
1705,181,1705_181,9/28/2017 4:13,B,1,max,22.43130466,-171.2218622,3899
1705,196,1705_196,10/2/2017 3:12,B,1,max,25.36697363,-176.7878147,-2495
1705,221,1705_221,10/18/2017 17:51,B,1,max,23.86174227,-160.9226842,-3080
1705,223,1705_223,10/20/2017 2:46,B,1,max,24.98916517,-165.3883618,6980
1705,235,1705_235,10/22/2017 17:18,B,1,max,25.14139347,-168.7882917,17522
1705,246,1705_246,10/25/2017 20:35,B,1,max,26.09243461,-169.7829594,11026
1705,249,1705_249,10/27/2017 1:50,B,1,max,27.39922313,-172.4234831,-4509
1705,251,1705_251,10/27/2017 2:31,B,1,max,27.3989284,-172.6131944,-9437
1705,261,1705_261,10/28/2017 0:06,B,1,max,26.6057772,-172.6128317,-11020
1705,352,1705_352,11/21/2017 2:00,B,1,max,23.65385004,-160.4427779,-5858
1705,367,1705_367,11/22/2017 22:12,B,1,max,21.61288744,-155.0571623,-3044
1705,382,1705_382,11/25/2017 0:00,B,1,max,21.99240418,-153.5805985,-2561
1706,11,1706_11,7/9/2017 21:44,B,1,max,20.40978456,-156.8981593,-865
1706,112,1706_112,7/31/2017 1:40,B,1,max,19.24972609,-159.1182873,-2928
1706,135,1706_135,8/10/2017 15:43,B,1,max,21.2955121,-156.6604063,-8062
1706,154,1706_154,8/14/2017 18:24,B,1,max,27.50878634,-166.2593673,-3655
1706,156,1706_156,8/14/2017 23:07,B,1,max,27.70594294,-166.9700958,5644
1706,188,1706_188,8/23/2017 21:58,B,1,max,28.73794153,-173.8592011,14071
